entity_index,num_replicates,modality
1240,7,Compound
1241,5,Compound
1242,5,Compound
1243,5,Compound
1244,5,Compound
1245,4,Compound
1246,7,Compound
1247,5,Compound
1248,4,Compound
1249,5,Compound
1250,5,Compound
1251,3,Compound
1252,7,Compound
1253,3,Compound
1254,8,Compound
1255,6,Compound
1256,6,Compound
1257,4,Compound
1258,7,Compound
1259,140,Compound
1260,3,Compound
1261,7,Compound
1262,4,Compound
1263,10,Compound
1264,3,Compound
1265,7,Compound
1266,4,Compound
1267,4,Compound
1268,7,Compound
1269,8,Compound
1270,4,Compound
1271,7,Compound
1272,4,Compound
1273,5,Compound
1274,8,Compound
1275,5,Compound
1276,4,Compound
1277,7,Compound
1278,4,Compound
1279,8,Compound
1280,4,Compound
1281,7,Compound
1282,5,Compound
1283,3,Compound
1284,3,Compound
1285,8,Compound
1286,3,Compound
1287,3,Compound
1288,3,Compound
1289,4,Compound
1290,3,Compound
1291,3,Compound
1292,5,Compound
1293,7,Compound
1294,4,Compound
1295,5,Compound
1296,4,Compound
1297,4,Compound
1298,6,Compound
1299,4,Compound
1300,8,Compound
1301,6,Compound
1302,5,Compound
1303,3,Compound
1304,3,Compound
1305,4,Compound
1306,3,Compound
1307,9,Compound
1308,8,Compound
1309,3,Compound
1310,3,Compound
1311,5,Compound
1312,8,Compound
1313,7,Compound
1314,10,Compound
1315,4,Compound
1316,5,Compound
1317,4,Compound
1318,5,Compound
1319,4,Compound
1320,3,Compound
1321,6,Compound
1322,4,Compound
1323,3,Compound
1324,3,Compound
1325,9,Compound
1326,5,Compound
1327,3,Compound
1328,4,Compound
1329,5,Compound
1330,7,Compound
1331,4,Compound
1332,7,Compound
1333,4,Compound
1334,5,Compound
1335,10,Compound
1336,5,Compound
1337,4,Compound
1338,5,Compound
1339,8,Compound
1340,3,Compound
1341,3,Compound
1342,4,Compound
1343,4,Compound
1344,5,Compound
1345,8,Compound
1346,5,Compound
1347,3,Compound
1348,4,Compound
1349,4,Compound
1350,8,Compound
1351,5,Compound
1352,3,Compound
1353,7,Compound
1354,4,Compound
1355,4,Compound
1356,3,Compound
1357,6,Compound
1358,5,Compound
1359,8,Compound
1360,5,Compound
1361,4,Compound
1362,5,Compound
1363,4,Compound
1364,5,Compound
1365,5,Compound
1366,6,Compound
1367,5,Compound
1368,3,Compound
1369,3,Compound
1370,8,Compound
1371,5,Compound
1372,4,Compound
1373,3,Compound
1374,5,Compound
1375,3,Compound
1376,8,Compound
1377,3,Compound
1378,4,Compound
1379,4,Compound
1380,8,Compound
1381,7,Compound
1382,15,Compound
1383,5,Compound
