method,num_queries,topk,corr_threshold,directed_hits,unique_pair_hits,queries_with_hit,query_hit_rate,hit_yield_per_1000_ranked,mean_hit_rank,median_hit_corr,setting,low_tanimoto
RDKit2D,1856,50,0.3,839,632,249,0.1341594827586207,9.04094827586207,24.194278903456496,0.36426860094070435,low_morgan_lt_0.20,0.2
NYAN,1856,50,0.3,852,621,266,0.14331896551724138,9.181034482758621,23.671361502347416,0.3658733069896698,low_morgan_lt_0.20,0.2
Morgan,1856,50,0.3,734,454,263,0.14170258620689655,7.9094827586206895,22.9850136239782,0.3638567328453064,low_morgan_lt_0.20,0.2
AtomPair,1856,50,0.3,898,635,261,0.140625,9.676724137931034,24.85857461024499,0.36163753271102905,low_morgan_lt_0.20,0.2
Avalon,1856,50,0.3,819,557,247,0.13308189655172414,8.825431034482758,24.39072039072039,0.3657851815223694,low_morgan_lt_0.20,0.2
Random,1856,50,0.3,353,344,163,0.08782327586206896,3.8038793103448274,26.087818696883854,0.3644147515296936,low_morgan_lt_0.20,0.2
CGP-Align,1856,100,0.3,3374,2384,314,0.16918103448275862,18.17887931034483,44.53764078245406,0.3676287829875946,low_morgan_lt_0.20,0.2
RDKit2D,1856,100,0.3,1543,1068,302,0.1627155172413793,8.313577586206897,47.358392741412835,0.3596370816230774,low_morgan_lt_0.20,0.2
NYAN,1856,100,0.3,1566,1079,312,0.16810344827586207,8.4375,47.3786717752235,0.36163753271102905,low_morgan_lt_0.20,0.2
Morgan,1856,100,0.3,1312,813,295,0.15894396551724138,7.068965517241379,45.80868902439025,0.36283379793167114,low_morgan_lt_0.20,0.2
AtomPair,1856,100,0.3,1689,1140,314,0.16918103448275862,9.10021551724138,48.43516873889876,0.36019307374954224,low_morgan_lt_0.20,0.2
Avalon,1856,100,0.3,1563,1075,296,0.15948275862068967,8.421336206896552,48.67690339091491,0.36489731073379517,low_morgan_lt_0.20,0.2
Random,1856,100,0.3,718,698,222,0.11961206896551724,3.8685344827586206,50.45403899721448,0.3617500513792038,low_morgan_lt_0.20,0.2
