low_tanimoto,corr_threshold,topk,baseline,directed_hits_delta,directed_hits_relative,unique_pair_hits_delta,unique_pair_hits_relative,query_hit_rate_delta,yield_delta_per_1000,cgp_only_unique_pairs,baseline_only_unique_pairs,overlap_unique_pairs
0.15,0.25,100,Morgan,2960,2.697247706422018,2185,3.05937794533459,0.024245689655172403,15.948275862068966,2735,550,511
0.15,0.25,100,AtomPair,2236,1.9059967585089141,1568,1.934445768772348,0.007004310344827597,12.047413793103448,2348,780,898
0.15,0.25,100,Avalon,2381,2.0249677141627207,1613,1.9877526025719534,0.025323275862068978,12.828663793103448,2449,836,797
0.15,0.3,10,RDKit2D,313,3.5655737704918034,238,3.18348623853211,0.05226293103448276,16.864224137931036,328,90,19
0.15,0.3,10,NYAN,280,2.806451612903226,225,2.8442622950819674,0.03717672413793104,15.086206896551724,323,98,24
0.15,0.3,10,Morgan,318,3.717948717948718,270,4.5064935064935066,0.048491379310344834,17.133620689655174,340,70,7
0.15,0.3,10,AtomPair,286,2.9194630872483223,231,2.9913793103448274,0.041487068965517244,15.409482758620689,322,91,25
0.15,0.3,10,Avalon,282,2.843137254901961,238,3.18348623853211,0.04525862068965518,15.193965517241379,335,97,12
0.15,0.3,50,RDKit2D,1085,2.823529411764706,761,2.6088794926004226,0.030711206896551713,11.691810344827589,1008,247,226
0.15,0.3,50,NYAN,1008,2.5,743,2.513238289205703,0.021551724137931036,10.862068965517242,1012,269,222
0.15,0.3,50,Morgan,1168,3.28125,920,3.929936305732484,0.03178879310344827,12.586206896551726,1114,194,120
0.15,0.3,50,AtomPair,969,2.3628691983122363,726,2.4291338582677167,0.012931034482758619,10.441810344827587,980,254,254
0.15,0.3,50,Avalon,1035,2.604651162790698,779,2.7120879120879122,0.02855603448275862,11.153017241379313,1066,287,168
0.15,0.3,100,RDKit2D,1733,2.4875536480686695,1148,2.3781512605042017,0.021012931034482762,9.33728448275862,1476,328,505
0.15,0.3,100,NYAN,1624,2.2747252747252746,1091,2.2258426966292135,0.011314655172413784,8.75,1479,388,502
0.15,0.3,100,Morgan,1894,2.8864541832669324,1375,3.268976897689769,0.023168103448275856,10.204741379310345,1669,294,312
0.15,0.3,100,AtomPair,1527,2.113785557986871,1045,2.1164529914529915,0.0053879310344827624,8.22737068965517,1446,401,535
0.15,0.3,100,Avalon,1551,2.151447661469933,1024,2.0700104493207943,0.015086206896551713,8.356681034482758,1504,480,477
0.15,0.4,10,RDKit2D,138,4.136363636363637,107,3.891891891891892,0.027478448275862072,7.435344827586207,138,31,6
0.15,0.4,10,NYAN,125,3.192982456140351,97,3.0638297872340425,0.021551724137931036,6.734913793103448,138,41,6
0.15,0.4,10,Morgan,149,5.515151515151516,120,6.0,0.03286637931034483,8.02801724137931,141,21,3
0.15,0.4,10,AtomPair,142,4.55,113,4.645161290322581,0.029633620689655176,7.650862068965518,136,23,8
0.15,0.4,10,Avalon,126,3.25,105,3.6923076923076925,0.025323275862068968,6.788793103448276,141,36,3
0.15,0.4,50,RDKit2D,407,3.1648936170212765,269,2.7467532467532467,0.03394396551724138,4.385775862068965,348,79,75
0.15,0.4,50,NYAN,363,2.564655172413793,255,2.517857142857143,0.02209051724137931,3.911637931034482,341,86,82
0.15,0.4,50,Morgan,413,3.269230769230769,314,3.8807339449541285,0.029633620689655173,4.450431034482758,376,62,47
0.15,0.4,50,AtomPair,399,3.0357142857142856,280,2.958041958041958,0.028556034482758626,4.299568965517241,353,73,70
0.15,0.4,50,Avalon,386,2.84688995215311,276,2.877551020408163,0.028556034482758626,4.1594827586206895,365,89,58
0.15,0.4,100,RDKit2D,636,2.7569060773480665,411,2.5627376425855513,0.027478448275862058,3.4267241379310343,499,88,175
0.15,0.4,100,NYAN,595,2.4764267990074442,397,2.4332129963898916,0.018318965517241367,3.205818965517241,505,108,169
0.15,0.4,100,Morgan,658,2.9352941176470586,466,3.2403846153846154,0.02209051724137931,3.545258620689655,560,94,114
0.15,0.4,100,AtomPair,600,2.507537688442211,400,2.45985401459854,0.011853448275862058,3.232758620689655,504,104,170
0.15,0.4,100,Avalon,572,2.3427230046948355,371,2.2244224422442245,0.02101293103448275,3.0818965517241375,511,140,163
