setting,baseline,metric,direction,n_queries,mean_delta,ci95_low,ci95_high,paired_win_rate,wilcoxon_greater_p
low_morgan_lt_0.30,Avalon,top50_corr,cgp_minus_baseline,1856,0.012313523752976771,0.010791663242213185,0.013882363217970425,0.6293103448275862,2.3747706532666305e-49
low_morgan_lt_0.30,Avalon,ndcg50,cgp_minus_baseline,1856,0.03816888618608096,0.03366889116827495,0.04268297442666571,0.6325431034482759,2.5100702373820767e-46
low_morgan_lt_0.30,Avalon,retention50,cgp_minus_baseline,1856,0.05307688633010841,0.047001515124062095,0.05935084772543946,0.6293103448275862,1.0367000727893871e-48
low_morgan_lt_0.30,Avalon,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.025484913793103445,0.01982489224137931,0.03130387931034483,0.30064655172413796,1.4295100124329814e-16
low_morgan_lt_0.30,Avalon,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.051070261058790575,0.04426370060485978,0.057913427435788506,0.6535560344827587,5.466470680731211e-50
low_morgan_lt_0.30,Morgan,top50_corr,cgp_minus_baseline,1856,0.012829512682211257,0.011322663161262247,0.014487100786250503,0.6336206896551724,1.0421182587450697e-54
low_morgan_lt_0.30,Morgan,ndcg50,cgp_minus_baseline,1856,0.037839183902714395,0.033266058651035595,0.042311609959542106,0.6142241379310345,1.3202737307876931e-46
low_morgan_lt_0.30,Morgan,retention50,cgp_minus_baseline,1856,0.054585992938233296,0.048791429504001047,0.060481455738184656,0.6336206896551724,2.9403304474691434e-54
low_morgan_lt_0.30,Morgan,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.019019396551724136,0.013793103448275864,0.02424568965517241,0.2796336206896552,1.4308200371971795e-10
low_morgan_lt_0.30,Morgan,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.05113204962989581,0.044652205435183216,0.05754052397955355,0.6449353448275862,1.0088342777690127e-47
low_morgan_lt_0.30,NYAN,top50_corr,cgp_minus_baseline,1856,0.010418899482156406,0.008971787247963206,0.01189046546594944,0.6088362068965517,1.1590680417988169e-35
low_morgan_lt_0.30,NYAN,ndcg50,cgp_minus_baseline,1856,0.031936803550348974,0.027643178537132537,0.03650832939960421,0.5959051724137931,7.948518624014813e-32
low_morgan_lt_0.30,NYAN,retention50,cgp_minus_baseline,1856,0.04309161154413703,0.03704945877470857,0.04911214533469157,0.6088362068965517,4.480929866655074e-35
low_morgan_lt_0.30,NYAN,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.023976293103448277,0.01848060344827586,0.02909617456896551,0.28448275862068967,1.99807646968368e-15
low_morgan_lt_0.30,NYAN,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.03613140047467238,0.029068626509463368,0.042507386095626716,0.6217672413793104,4.6613527221506365e-31
low_morgan_lt_0.30,RDKit2D,top50_corr,cgp_minus_baseline,1856,0.009829737828727788,0.008387554395122896,0.011333791615437369,0.5915948275862069,5.248302469322518e-29
low_morgan_lt_0.30,RDKit2D,ndcg50,cgp_minus_baseline,1856,0.027210094444977864,0.022903117192068907,0.031488582599565,0.5948275862068966,5.6124142677255874e-24
low_morgan_lt_0.30,RDKit2D,retention50,cgp_minus_baseline,1856,0.03790020593507443,0.032247044063464694,0.04368589231892349,0.5915948275862069,1.3623626150774258e-27
low_morgan_lt_0.30,RDKit2D,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.01697198275862069,0.011799568965517242,0.022036637931034487,0.2661637931034483,1.8794729283254875e-08
low_morgan_lt_0.30,RDKit2D,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.03295648326057125,0.027020399858991795,0.03914675982086477,0.6039870689655172,1.8007447224705945e-25
