setting,active_threshold,topk,baseline,metric,direction,n_queries,mean_delta,ci95_low,ci95_high,paired_win_rate,wilcoxon_greater_p
low_morgan_lt_0.30,-2.0,100,NYAN,top_active_fraction,cgp_minus_baseline,88,0.1368181818181818,0.11658522727272727,0.15591193181818178,0.8977272727272727,3.7549503480196585e-15
low_morgan_lt_0.30,-2.0,100,NYAN,active_lift,cgp_minus_baseline,88,2.942885978820381,2.4975965640631563,3.3701253711382932,0.8977272727272727,3.723557474911246e-15
low_morgan_lt_0.30,-2.0,100,NYAN,top_mean_absdiff,baseline_minus_cgp,88,0.430842498741417,0.36094715961102347,0.4993902541165462,0.9318181818181818,6.7110901829162065e-15
low_morgan_lt_0.30,-2.0,100,NYAN,top_median_absdiff,baseline_minus_cgp,88,0.4631978007720053,0.38650694245322736,0.5428562937413516,0.9431818181818182,1.9228719099821095e-15
low_morgan_lt_0.30,-2.0,100,RDKit2D,top_active_fraction,cgp_minus_baseline,88,0.13204545454545455,0.11102272727272727,0.15420454545454546,0.8636363636363636,4.7454598677393775e-15
low_morgan_lt_0.30,-2.0,100,RDKit2D,active_lift,cgp_minus_baseline,88,2.8355171089068816,2.3507617172505895,3.290200448556965,0.8636363636363636,4.460412567396625e-15
low_morgan_lt_0.30,-2.0,100,RDKit2D,top_mean_absdiff,baseline_minus_cgp,88,0.42025036181696296,0.3462030520185606,0.49731181011710196,0.9204545454545454,1.2028111323418563e-14
low_morgan_lt_0.30,-2.0,100,RDKit2D,top_median_absdiff,baseline_minus_cgp,88,0.4662347818335878,0.3888684924535152,0.5493208701415411,0.9545454545454546,2.1241988907466642e-15
low_morgan_lt_0.30,-1.5,10,AtomPair,top_active_fraction,cgp_minus_baseline,121,0.19669421487603303,0.14956611570247932,0.24545454545454548,0.6528925619834711,2.618180911018391e-11
low_morgan_lt_0.30,-1.5,10,AtomPair,active_lift,cgp_minus_baseline,121,3.0676738434788815,2.3761039026304025,3.8607320871584307,0.6528925619834711,1.5136145339165932e-11
low_morgan_lt_0.30,-1.5,10,AtomPair,top_mean_absdiff,baseline_minus_cgp,121,0.508359100553592,0.3818045344266103,0.6419853620185499,0.7272727272727273,9.32298020137555e-11
low_morgan_lt_0.30,-1.5,10,AtomPair,top_median_absdiff,baseline_minus_cgp,121,0.6060093440257844,0.45297965154206676,0.7736822931754401,0.71900826446281,3.1911140406018763e-10
low_morgan_lt_0.30,-1.5,10,Avalon,top_active_fraction,cgp_minus_baseline,121,0.2066115702479339,0.16198347107438016,0.2528925619834711,0.7024793388429752,7.600026381449118e-12
low_morgan_lt_0.30,-1.5,10,Avalon,active_lift,cgp_minus_baseline,121,3.2265029261799314,2.512020528355691,3.969938476735091,0.7024793388429752,5.741596677509024e-12
low_morgan_lt_0.30,-1.5,10,Avalon,top_mean_absdiff,baseline_minus_cgp,121,0.49066623514393065,0.3622884731470152,0.6228776234699546,0.7520661157024794,1.4666850499898216e-10
low_morgan_lt_0.30,-1.5,10,Avalon,top_median_absdiff,baseline_minus_cgp,121,0.5719240248436108,0.40999714227100786,0.7341777380341438,0.7603305785123967,8.703631470531317e-10
low_morgan_lt_0.30,-1.5,10,Morgan,top_active_fraction,cgp_minus_baseline,121,0.20330578512396694,0.16033057851239668,0.24876033057851238,0.6859504132231405,2.1002405434229067e-12
low_morgan_lt_0.30,-1.5,10,Morgan,active_lift,cgp_minus_baseline,121,3.1700479220198465,2.452107638199143,3.8718401111118053,0.6859504132231405,1.3947696840059587e-12
low_morgan_lt_0.30,-1.5,10,Morgan,top_mean_absdiff,baseline_minus_cgp,121,0.54456302081711,0.42337547497987876,0.6664890604965066,0.7768595041322314,5.617865277868508e-13
