low_tanimoto,active_threshold,topk,baseline,directed_active_hits_delta,directed_active_hits_relative,unique_active_pairs_delta,unique_active_pairs_relative,query_hit_rate_delta,yield_delta_per_1000,cgp_only_unique_pairs,baseline_only_unique_pairs,overlap_unique_pairs
0.15,-1.5,10,Morgan,282,4.032258064516129,239,4.7936507936507935,0.2892561983471075,233.05785123966945,297,58,5
0.15,-1.5,10,AtomPair,228,2.5510204081632653,186,2.603448275862069,0.19834710743801653,188.42975206611573,282,96,20
0.15,-1.5,10,Avalon,265,3.409090909090909,222,3.775,0.28099173553719015,219.00826446280993,292,70,10
0.15,-1.5,50,RDKit2D,953,2.4775193798449613,682,2.3268482490272375,0.04132231404958675,157.52066115702476,978,296,218
0.15,-1.5,50,NYAN,923,2.3674074074074074,723,2.528541226215645,-0.008264462809917328,152.56198347107434,1008,285,188
0.15,-1.5,50,Morgan,1159,3.640091116173121,916,4.271428571428571,-0.03305785123966942,191.57024793388427,1096,180,100
0.15,-1.5,50,AtomPair,922,2.363905325443787,703,2.4259634888438133,-0.03305785123966942,152.396694214876,976,273,220
0.15,-1.5,50,Avalon,1000,2.6722408026755855,767,2.787878787878788,-0.04958677685950419,165.28925619834706,1041,274,155
0.15,-1.5,100,RDKit2D,1568,2.1745318352059924,1054,2.126068376068376,0.024793388429751984,129.5867768595041,1445,391,545
0.15,-1.5,100,NYAN,1624,2.269741985926505,1105,2.248587570621469,-0.024793388429752095,134.21487603305786,1489,384,501
0.15,-1.5,100,Morgan,1999,3.211283185840708,1444,3.6446886446886446,-0.024793388429752095,165.2066115702479,1702,258,288
0.15,-1.5,100,AtomPair,1536,2.123628383321141,1046,2.108050847457627,-0.016528925619834767,126.94214876033057,1463,417,527
0.15,-1.5,100,Avalon,1673,2.3601626016260164,1123,2.295271049596309,-0.016528925619834767,138.26446280991735,1541,418,449
0.15,-2.0,10,RDKit2D,185,4.083333333333333,135,3.288135593220339,0.38636363636363635,210.2272727272727,185,50,9
0.15,-2.0,10,NYAN,150,2.5789473684210527,124,2.7714285714285714,0.23863636363636365,170.45454545454544,187,63,7
0.15,-2.0,10,Morgan,193,4.711538461538462,157,5.243243243243243,0.39772727272727276,219.31818181818178,192,35,2
0.15,-2.0,10,AtomPair,182,3.888888888888889,139,3.5272727272727273,0.375,206.81818181818178,181,42,13
0.15,-2.0,10,Avalon,179,3.712121212121212,145,3.9591836734693877,0.38636363636363635,203.40909090909088,188,43,6
0.15,-2.0,50,RDKit2D,687,3.0265486725663715,486,2.7482014388489207,0.11363636363636365,156.13636363636363,628,142,136
0.15,-2.0,50,NYAN,632,2.6040609137055837,481,2.6996466431095407,0.0,143.63636363636365,639,158,125
0.15,-2.0,50,Morgan,790,4.3474576271186445,616,5.162162162162162,0.045454545454545525,179.54545454545456,706,90,58
0.15,-2.0,50,AtomPair,687,3.0265486725663715,508,2.984375,0.03409090909090917,156.13636363636363,629,121,135
0.15,-2.0,50,Avalon,667,2.8579387186629526,511,3.0197628458498023,0.011363636363636465,151.5909090909091,663,152,101
0.15,-2.0,100,RDKit2D,1047,2.407258064516129,689,2.292682926829268,0.05681818181818188,118.97727272727273,894,205,328
0.15,-2.0,100,NYAN,1057,2.4400544959128063,702,2.35,-0.045454545454545414,120.11363636363637,908,206,314
0.15,-2.0,100,Morgan,1320,3.8025477707006368,939,4.318021201413427,-0.03409090909090906,150.0,1056,117,166
0.15,-2.0,100,AtomPair,1063,2.4601648351648353,705,2.3636363636363638,-0.022727272727272707,120.79545454545455,910,205,312
0.15,-2.0,100,Avalon,1081,2.5225352112676056,730,2.483739837398374,-0.03409090909090906,122.8409090909091,942,212,280
