entity_index,entity_id,pair_kind,modality,display_group,gene_symbol,perturbation_modality,label,stage_key,stage_label,pca1,pca2
10662,LIN37|orf|JCP2022_911464,gene,gene_embedding,gene_embedding::orf,LIN37,orf,LIN37::orf,branch_pretrained,Before joint training,-0.6867765,-0.4916447
10669,LINC00173|orf|JCP2022_909711,gene,gene_embedding,gene_embedding::orf,LINC00173,orf,LINC00173::orf,branch_pretrained,Before joint training,-0.63762426,-0.41607878
10701,LINC01465|orf|JCP2022_905009,gene,gene_embedding,gene_embedding::orf,LINC01465,orf,LINC01465::orf,branch_pretrained,Before joint training,-0.5406246,-0.36510596
10756,LLCFC1|orf|JCP2022_912294,gene,gene_embedding,gene_embedding::orf,LLCFC1,orf,LLCFC1::orf,branch_pretrained,Before joint training,-0.6386976,-0.37526658
10772,LMNB1|orf|JCP2022_906111,gene,gene_embedding,gene_embedding::orf,LMNB1,orf,LMNB1::orf,branch_pretrained,Before joint training,-0.65113884,-0.4782088
10780,LMO3|orf|JCP2022_903452,gene,gene_embedding,gene_embedding::orf,LMO3,orf,LMO3::orf,branch_pretrained,Before joint training,-0.60629606,-0.36894014
10857,LONP1|crispr|JCP2022_803871,gene,gene_embedding,gene_embedding::crispr,LONP1,crispr,LONP1::crispr,branch_pretrained,Before joint training,-0.5776661,0.4003449
10858,LONP2|crispr|JCP2022_803872,gene,gene_embedding,gene_embedding::crispr,LONP2,crispr,LONP2::crispr,branch_pretrained,Before joint training,-0.54552484,0.3441414
10866,LOXHD1|crispr|JCP2022_803877,gene,gene_embedding,gene_embedding::crispr,LOXHD1,crispr,LOXHD1::crispr,branch_pretrained,Before joint training,-0.55597156,0.33327293
10868,LOXL1|crispr|JCP2022_803878,gene,gene_embedding,gene_embedding::crispr,LOXL1,crispr,LOXL1::crispr,branch_pretrained,Before joint training,-0.58608145,0.41741213
10881,LPAR3|crispr|JCP2022_803885,gene,gene_embedding,gene_embedding::crispr,LPAR3,crispr,LPAR3::crispr,branch_pretrained,Before joint training,-0.49852765,0.41507694
10882,LPAR3|orf|JCP2022_907390,gene,gene_embedding,gene_embedding::orf,LPAR3,orf,LPAR3::orf,branch_pretrained,Before joint training,-0.5386073,-0.28944394
10907,LRFN4|orf|JCP2022_903766,gene,gene_embedding,gene_embedding::orf,LRFN4,orf,LRFN4::orf,branch_pretrained,Before joint training,-0.6900303,-0.49632517
10908,LRFN4|orf|JCP2022_911681,gene,gene_embedding,gene_embedding::orf,LRFN4,orf,LRFN4::orf,branch_pretrained,Before joint training,-0.6900303,-0.49632517
10910,LRGUK|crispr|JCP2022_803895,gene,gene_embedding,gene_embedding::crispr,LRGUK,crispr,LRGUK::crispr,branch_pretrained,Before joint training,-0.56383586,0.40138483
10912,LRGUK|orf|JCP2022_914256,gene,gene_embedding,gene_embedding::orf,LRGUK,orf,LRGUK::orf,branch_pretrained,Before joint training,-0.6931741,-0.4837444
10928,LRPPRC|orf|JCP2022_913976,gene,gene_embedding,gene_embedding::orf,LRPPRC,orf,LRPPRC::orf,branch_pretrained,Before joint training,-0.67711926,-0.40861532
10947,LRRC32|orf|JCP2022_905849,gene,gene_embedding,gene_embedding::orf,LRRC32,orf,LRRC32::orf,branch_pretrained,Before joint training,-0.7111137,-0.4797435
10962,LRRC52|crispr|JCP2022_803909,gene,gene_embedding,gene_embedding::crispr,LRRC52,crispr,LRRC52::crispr,branch_pretrained,Before joint training,-0.5787054,0.39988333
10963,LRRC52|orf|JCP2022_905303,gene,gene_embedding,gene_embedding::orf,LRRC52,orf,LRRC52::orf,branch_pretrained,Before joint training,-0.7058821,-0.456206
