compound_id,method,hits_at_50,best_positive_rank
BKDVLXYPBAYFMR-UHFFFAOYSA-N,Structure feature baseline,0,4305
KGWQPVDVUWSICZ-UHFFFAOYSA-N,Structure feature baseline,0,1976
LFIUZPPCIKAODI-UHFFFAOYSA-N,Structure feature baseline,0,220
ILIHLLMHUMGBRG-UHFFFAOYSA-N,Structure feature baseline,0,1929
XXRBPLRBMARQAS-UHFFFAOYSA-N,Structure feature baseline,0,1749
LGWUYFGPDZNWRD-UHFFFAOYSA-N,Structure feature baseline,0,81
LHDOEPKDXYJFBH-UHFFFAOYSA-N,Structure feature baseline,0,468
AWEYDTYVZUDKSQ-UHFFFAOYSA-N,Structure feature baseline,1,19
GYLLFRDMCHGMCZ-UHFFFAOYSA-N,Structure feature baseline,0,667
NVBDGPDWIZZKAK-UHFFFAOYSA-N,Structure feature baseline,0,1778
HESRLEBLERUHKH-UHFFFAOYSA-N,Structure feature baseline,0,338
YFUIMRJZDYYMSB-UHFFFAOYSA-N,Structure feature baseline,0,160
QWCCGLPVADMGLR-UHFFFAOYSA-N,Structure feature baseline,0,412
WSSZPEVKYHJQSZ-UHFFFAOYSA-N,Structure feature baseline,0,1909
ZHLRBJJDIYSXCN-UHFFFAOYSA-N,Structure feature baseline,0,393
GOVYEVVBXOMIJP-UHFFFAOYSA-N,Structure feature baseline,0,786
ISOPNXNQEKPMRX-UHFFFAOYSA-N,Structure feature baseline,0,3357
QHLXMHYAWJBEEM-UHFFFAOYSA-N,Structure feature baseline,0,264
ZRPCFYVYAZTBIN-UHFFFAOYSA-N,Structure feature baseline,0,840
JDYKALXZBBTKHX-UHFFFAOYSA-N,Structure feature baseline,1,1
VSVBUBRNGOIVRG-UHFFFAOYSA-N,Structure feature baseline,0,920
PBTGQEUOORXXLP-UHFFFAOYSA-N,Structure feature baseline,0,454
WVHRXKISTDVKLX-UHFFFAOYSA-N,Structure feature baseline,0,87
ABIXNZREIZUBDQ-UHFFFAOYSA-N,Structure feature baseline,0,2782
YDUIRGBFIUUIOV-UHFFFAOYSA-N,Structure feature baseline,0,257
BWVGTRJSWMMDPX-UHFFFAOYSA-N,Structure feature baseline,0,1641
CCQPAEQGAVNNIA-UHFFFAOYSA-N,Structure feature baseline,0,1350
DQIBLUITPJKQSM-UHFFFAOYSA-N,Structure feature baseline,0,1084
FBLFEGJPUSGQQD-UHFFFAOYSA-N,Structure feature baseline,0,286
QIKZQXQVRNEHNM-UHFFFAOYSA-N,Structure feature baseline,0,977
HJNKPVZFAATBJP-UHFFFAOYSA-N,Structure feature baseline,0,267
MEPFYDHQKHJYRE-UHFFFAOYSA-N,Structure feature baseline,2,34
YGWFEEPDVXIOHB-UHFFFAOYSA-N,Structure feature baseline,1,2
COUMZXFUZDBRCZ-UHFFFAOYSA-N,Structure feature baseline,0,233
