task,representation,display,model,fold,n_train,n_test,positive_train,positive_test,n_train_scaffolds,n_test_scaffolds,scaffold_overlap,auroc,auprc
Endocrine Disruption_SR-p53,NYAN_latent,NYAN,extratrees_scaffold,2,5235,1211,283,110,2578,840,0,0.8292007266121708,0.3408387516650304
Endocrine Disruption_SR-p53,NYAN_latent,NYAN,extratrees_scaffold,3,3868,2578,280,113,2568,850,0,0.7541133389577986,0.16312926339441314
Endocrine Disruption_SR-p53,NYAN_latent,NYAN,extratrees_scaffold,4,5101,1345,314,79,2571,847,0,0.8805067290579319,0.452552493873147
Endocrine Disruption_SR-p53,Morgan2048,Morgan,extratrees_scaffold,0,6377,69,384,9,3387,31,0,0.7666666666666666,0.3329656145832617
Endocrine Disruption_SR-p53,Morgan2048,Morgan,extratrees_scaffold,1,5203,1243,311,82,2568,850,0,0.8021260057561816,0.3192565609565726
Endocrine Disruption_SR-p53,Morgan2048,Morgan,extratrees_scaffold,2,5235,1211,283,110,2578,840,0,0.8224176368590537,0.38049230328786005
Endocrine Disruption_SR-p53,Morgan2048,Morgan,extratrees_scaffold,3,3868,2578,280,113,2568,850,0,0.7221687698576531,0.13673719509626947
Endocrine Disruption_SR-p53,Morgan2048,Morgan,extratrees_scaffold,4,5101,1345,314,79,2571,847,0,0.836317915491831,0.3026189483824364
Endocrine Disruption_SR-p53,AtomPair2048,AtomPair,extratrees_scaffold,0,6377,69,384,9,3387,31,0,0.5722222222222222,0.21606253136951203
Endocrine Disruption_SR-p53,AtomPair2048,AtomPair,extratrees_scaffold,1,5203,1243,311,82,2568,850,0,0.8699817230730449,0.35956959634413954
Endocrine Disruption_SR-p53,AtomPair2048,AtomPair,extratrees_scaffold,2,5235,1211,283,110,2578,840,0,0.8505573445627941,0.4046498293871872
Endocrine Disruption_SR-p53,AtomPair2048,AtomPair,extratrees_scaffold,3,3868,2578,280,113,2568,850,0,0.7490136243694915,0.17096329745439387
Endocrine Disruption_SR-p53,AtomPair2048,AtomPair,extratrees_scaffold,4,5101,1345,314,79,2571,847,0,0.8655088287639731,0.39245575550062495
Endocrine Disruption_SR-p53,Avalon1024,Avalon,extratrees_scaffold,0,6377,69,384,9,3387,31,0,0.6935185185185184,0.2378977076448612
Endocrine Disruption_SR-p53,Avalon1024,Avalon,extratrees_scaffold,1,5203,1243,311,82,2568,850,0,0.859314930358606,0.35860561330107826
Endocrine Disruption_SR-p53,Avalon1024,Avalon,extratrees_scaffold,2,5235,1211,283,110,2578,840,0,0.8348773841961854,0.4408860841616158
Endocrine Disruption_SR-p53,Avalon1024,Avalon,extratrees_scaffold,3,3868,2578,280,113,2568,850,0,0.7617261124773378,0.17639302465347595
Endocrine Disruption_SR-p53,Avalon1024,Avalon,extratrees_scaffold,4,5101,1345,314,79,2571,847,0,0.8327534145219668,0.33072641241586426
