method,active_queries,topk,directed_active_hits,unique_active_pairs,query_hit_rate,top_active_fraction,candidate_active_rate,active_lift,top_mean_lfc,top_mean_absdiff,top_median_absdiff,hit_yield_per_1000_ranked,setting,low_tanimoto,active_threshold,num_active_compounds
Avalon,121,100,1311,907,0.9917355371900827,0.10834710743801654,0.06312221747672522,1.730264712914282,-0.2525536734794463,2.524439949635368,2.67236962068291,108.34710743801652,low_morgan_lt_0.20,0.2,-1.5,121
Random,121,100,818,793,1.0,0.06760330578512398,0.06312221747672522,1.0719879235548637,-0.12579211081712496,2.6075458651499037,2.732583494816064,67.60330578512396,low_morgan_lt_0.20,0.2,-1.5,121
CGP-Align,187,10,638,509,0.8235294117647058,0.34117647058823525,0.09869096702207703,3.486478012499646,-0.8318883273891239,1.7495632111507013,1.7582628439607928,341.1764705882353,low_morgan_lt_0.20,0.2,-1.0,187
RDKit2D,187,10,306,274,0.7593582887700535,0.16363636363636364,0.09869096702207703,1.6811014548245078,-0.26532739163746805,2.060805506004739,2.164704826575633,163.63636363636363,low_morgan_lt_0.20,0.2,-1.0,187
NYAN,187,10,330,267,0.7486631016042781,0.17647058823529413,0.09869096702207703,1.8118311713547692,-0.28345338153546396,2.062583964876052,2.1515753774313544,176.47058823529412,low_morgan_lt_0.20,0.2,-1.0,187
Morgan,187,10,252,164,0.7540106951871658,0.13475935828877006,0.09869096702207703,1.375325610201363,-0.21242832568645936,2.0974700481009565,2.192862698807223,134.75935828877004,low_morgan_lt_0.20,0.2,-1.0,187
AtomPair,187,10,340,260,0.7700534759358288,0.18181818181818182,0.09869096702207703,1.8749212203876433,-0.3485087684078334,2.0227425761454563,2.097762629157399,181.8181818181818,low_morgan_lt_0.20,0.2,-1.0,187
Avalon,187,10,284,204,0.7112299465240641,0.15187165775401068,0.09869096702207703,1.5493633204157564,-0.22774403960740364,2.103004769222776,2.176968416739766,151.8716577540107,low_morgan_lt_0.20,0.2,-1.0,187
Random,187,10,185,185,0.6363636363636364,0.09893048128342247,0.09869096702207703,1.0052879058108093,-0.10927312843502189,2.1549036914887054,2.2326681634998273,98.93048128342247,low_morgan_lt_0.20,0.2,-1.0,187
CGP-Align,187,50,2978,2267,0.9625668449197861,0.3185026737967915,0.09869096702207703,3.2610667425943363,-0.752107631334771,1.8007691855065993,1.866242512017034,318.50267379679144,low_morgan_lt_0.20,0.2,-1.0,187
RDKit2D,187,50,1512,1173,0.9625668449197861,0.16171122994652407,0.09869096702207703,1.6598346203095447,-0.25947430751138284,2.069738362508858,2.1801205494367633,161.71122994652407,low_morgan_lt_0.20,0.2,-1.0,187
NYAN,187,50,1574,1151,0.9786096256684492,0.16834224598930483,0.09869096702207703,1.7240325782647474,-0.27694970529433716,2.0673920972517106,2.1608437781342316,168.3422459893048,low_morgan_lt_0.20,0.2,-1.0,187
Morgan,187,50,1154,740,0.983957219251337,0.12342245989304812,0.09869096702207703,1.2618944881969856,-0.16420326155472179,2.1369453241064886,2.2363390457395584,123.42245989304813,low_morgan_lt_0.20,0.2,-1.0,187
AtomPair,187,50,1627,1167,0.9893048128342246,0.17401069518716578,0.09869096702207703,1.785774933759453,-0.3072895986887746,2.0335914905574346,2.1275989222682683,174.01069518716577,low_morgan_lt_0.20,0.2,-1.0,187
Avalon,187,50,1401,981,0.9786096256684492,0.1498395721925134,0.09869096702207703,1.5295007220005206,-0.24719072932610914,2.099973018216573,2.208649812449102,149.83957219251337,low_morgan_lt_0.20,0.2,-1.0,187
Random,187,50,952,931,1.0,0.10181818181818184,0.09869096702207703,1.0313005352643139,-0.112528474270777,2.1549018107597306,2.249179057443868,101.81818181818183,low_morgan_lt_0.20,0.2,-1.0,187
CGP-Align,187,100,5584,4055,1.0,0.29860962566844923,0.09869096702207703,3.055876026777899,-0.6710331142860941,1.8491709794379172,1.9364755673665195,298.60962566844916,low_morgan_lt_0.20,0.2,-1.0,187
RDKit2D,187,100,3059,2181,1.0,0.16358288770053478,0.09869096702207703,1.6778078148464382,-0.2690683678282116,2.068603603684139,2.1759281139998237,163.58288770053474,low_morgan_lt_0.20,0.2,-1.0,187
NYAN,187,100,3050,2125,1.0,0.16310160427807488,0.09869096702207703,1.6684661561183036,-0.2705595038587478,2.072300994709843,2.1725160829968164,163.1016042780749,low_morgan_lt_0.20,0.2,-1.0,187
Morgan,187,100,2337,1509,1.0,0.12497326203208559,0.09869096702207703,1.2757354638018894,-0.16237129532204775,2.1418056409805453,2.244602624681482,124.97326203208556,low_morgan_lt_0.20,0.2,-1.0,187
